"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.616860856E0,9.445504099E-2,3.316998184E-1,-5.589416996E-2
2.626860856E0,1.127809957E-1,3.396410644E-1,-3.329215571E-2
2.636860489E0,1.207222417E-1,3.371976018E-1,-1.007927675E-2
2.646860489E0,1.268308908E-1,3.133738637E-1,8.857546374E-3
2.656860489E0,1.237765700E-1,2.761110961E-1,2.168571576E-2
2.666860489E0,1.109483987E-1,2.467895597E-1,2.168571576E-2
2.676860489E0,9.140071273E-2,2.327396572E-1,1.007927675E-2
2.686860489E0,6.146831438E-2,2.150245607E-1,-8.857546374E-3
2.696860755E0,1.992947794E-2,1.966986060E-1,-3.329215571E-2
2.706860755E0,-1.794416644E-2,1.881465018E-1,-5.467243865E-2
2.716860755E0,-6.620252132E-2,1.838704348E-1,-7.483099401E-2
2.726860755E0,-7.719809562E-2,1.869247705E-1,-7.910704613E-2
2.736860755E0,-7.292203605E-2,1.814269722E-1,-7.360926270E-2
2.746860455E0,-5.520694703E-2,1.569923609E-1,-5.894849449E-2
2.756860455E0,-2.893974073E-2,1.130100712E-1,-4.062253982E-2
2.766860455E0,8.323038928E-3,6.597344577E-2,-2.412917651E-2
2.776860455E0,4.130976275E-2,2.626720630E-2,-8.246680722E-3
2.786860455E0,6.513350457E-2,-8.552113548E-3,2.138028387E-3
2.796860455E0,7.735081017E-2,-3.787364438E-2,6.414085161E-3
2.806860721E0,7.673994452E-2,-6.352998316E-2,6.414085161E-3
2.816860721E0,6.574437022E-2,-8.307767659E-2,3.970623948E-3
2.826860721E0,4.619668424E-2,-9.773843735E-2,3.054326226E-4
2.836860721E0,2.359467000E-2,-1.081231460E-1,-5.803219974E-3
2.846860721E0,7.712173741E-3,-1.081231460E-1,-1.252273750E-2
2.856860454E0,-8.170322515E-3,-1.014036313E-1,-1.863138936E-2
2.866860454E0,-1.550070569E-2,-9.468411654E-2,-2.046398632E-2
2.876860454E0,-1.550070569E-2,-8.796459436E-2,-2.351831272E-2
2.886860454E0,-6.337726954E-3,-8.368854225E-2,-2.290744707E-2
2.896860454E0,7.101308554E-3,-8.246681094E-2,-2.046398632E-2
2.906860454E0,2.542726509E-2,-9.162978828E-2,-9.468411095E-3
2.916860454E0,4.986187443E-2,-1.044579595E-1,-3.054326226E-4
2.926860454E0,7.612907887E-2,-1.111774743E-1,9.468411095E-3
2.936860820E0,9.873109311E-2,-9.407325089E-2,1.252273750E-2
2.946861120E0,1.164461896E-1,-7.269296050E-2,1.313360315E-2
2.956861120E0,1.213331074E-1,-4.825835302E-2,1.069014147E-2
2.966861120E0,1.219439730E-1,-2.443460934E-2,7.024950348E-3
2.976861120E0,1.140027270E-1,-3.054326167E-3,-3.054326226E-4
2.986861120E0,1.097266674E-1,1.282817032E-2,-2.748893574E-3
2.996861120E0,1.005636901E-1,1.893682219E-2,-8.857546374E-3
3.006861120E0,9.262244403E-2,2.382374369E-2,-1.435533352E-2
3.016861120E0,8.284860104E-2,3.054326214E-2,-1.802052557E-2
3.026861120E0,7.857254148E-2,3.359758854E-2,-2.107485011E-2
3.036861120E0,7.551821321E-2,3.726277873E-2,-2.596177347E-2
3.046861120E0,7.918340713E-2,4.214970022E-2,-2.901609987E-2
3.056861386E0,8.712465316E-2,4.092797264E-2,-3.268129006E-2
3.066861386E0,9.934195876E-2,2.626720630E-2,-3.573561832E-2
3.076860952E0,1.060614809E-1,9.773843922E-3,-3.329215571E-2
3.086860952E0,1.048397496E-1,-4.886921961E-3,-3.023782931E-2
3.096860952E0,9.323330969E-2,-1.832595654E-2,-2.718350291E-2
3.106860685E0,8.773551881E-2,-3.543018550E-2,-2.412917651E-2
3.116860685E0,9.140071273E-2,-5.131268129E-2,-2.718350291E-2
3.126860685E0,1.042288840E-1,-7.024950534E-2,-2.657263726E-2
3.136860685E0,1.195005104E-1,-8.552113175E-2,-3.268129006E-2
3.146860685E0,1.408807933E-1,-9.896016866E-2,-3.634648025E-2
3.156860685E0,1.604284793E-1,-1.117883399E-1,-4.184427112E-2
3.166860685E0,1.781435758E-1,-1.227839142E-1,-4.612032697E-2
3.176860685E0,1.952477992E-1,-1.276708394E-1,-5.039638281E-2
3.186860685E0,2.056325078E-1,-1.301143020E-1,-5.406157300E-2
3.196860985E0,2.166280895E-1,-1.356120855E-1,-5.467243865E-2
3.206860985E0,2.245693356E-1,-1.362229437E-1,-5.467243865E-2
3.216860985E0,2.306779921E-1,-1.288925707E-1,-5.222897977E-2
3.226860985E0,2.312888503E-1,-1.215621829E-1,-5.039638281E-2
3.236860985E0,2.239584774E-1,-1.093448773E-1,-4.612032697E-2
3.246860685E0,2.025781870E-1,-9.590584040E-2,-4.123340547E-2
3.256860685E0,1.738675237E-1,-7.391469181E-2,-3.756821156E-2
3.266860685E0,1.414916664E-1,-5.070181563E-2,-2.962696366E-2
3.276860951E0,1.048397496E-1,-2.443460934E-2,-2.168571576E-2
3.286860951E0,6.818783283E-2,-1.221730490E-3,-1.557706390E-2
3.296860317E0,4.069889709E-2,1.771509275E-2,-9.468411095E-3
3.306860583E0,2.298380435E-2,3.665191308E-2,-6.414085161E-3
3.316860583E0,1.198823005E-2,4.703662544E-2,3.054326226E-4
3.326860583E0,7.712173741E-3,4.764748737E-2,5.192354787E-3
3.336860583E0,4.046982154E-3,4.642575979E-2,8.246680722E-3
3.346860583E0,3.817907709E-4,4.398229718E-2,1.191187184E-2
3.356860316E0,-3.894265974E-3,3.970624134E-2,1.069014147E-2
3.366860316E0,-2.290744742E-4,3.237585723E-2,1.130100712E-2
3.376860749E0,4.046982154E-3,2.565634064E-2,9.468411095E-3
3.386860749E0,8.933904581E-3,1.954768784E-2,6.414085161E-3
3.396860749E0,1.626428775E-2,1.282817032E-2,6.414085161E-3
3.406860749E0,2.420553565E-2,6.108652335E-3,2.748893574E-3
3.416860749E0,3.031418845E-2,-3.054326167E-3,3.054326226E-4
3.426860749E0,4.558581859E-2,-2.504547499E-2,-3.359758761E-3
3.436860749E0,5.597052723E-2,-3.909537569E-2,-3.970623948E-3
3.446861015E0,6.085744873E-2,-4.276056588E-2,-5.803219974E-3
3.456861015E0,6.757696718E-2,-4.642575979E-2,-8.246680722E-3
3.466861015E0,7.124216110E-2,-4.337143153E-2,-1.007927675E-2
3.476861015E0,6.940956414E-2,-3.848451003E-2,-1.191187184E-2
3.486861015E0,6.635523587E-2,-3.543018550E-2,-1.252273750E-2
3.496860715E0,6.024658307E-2,-3.787364438E-2,-1.557706390E-2
3.506860715E0,5.230533704E-2,-4.031710699E-2,-1.557706390E-2
3.516860715E0,4.192062840E-2,-4.214970022E-2,-1.863138936E-2
3.526860715E0,3.397937864E-2,-4.764748737E-2,-1.802052557E-2
3.536860715E0,3.275764734E-2,-5.742133409E-2,-1.924225502E-2
3.546860715E0,2.787072770E-2,-6.291911751E-2,-2.168571576E-2
3.556860981E0,2.725986205E-2,-6.414084882E-2,-2.474004216E-2
3.566860981E0,2.725986205E-2,-6.658431143E-2,-2.412917651E-2
3.576860714E0,2.970332280E-2,-6.536258012E-2,-2.229658142E-2
3.586860714E0,3.336851299E-2,-6.230825558E-2,-2.107485011E-2
