"Time (s)","Pressure (hPa)"
8.541904597E1,1.017944824E3
8.551904597E1,1.017955078E3
8.561904597E1,1.017933838E3
8.571904597E1,1.017938232E3
8.581904597E1,1.017945312E3
8.591904597E1,1.017932373E3
8.601904597E1,1.017937500E3
8.611904597E1,1.017938965E3
8.621904597E1,1.017937500E3
8.631904597E1,1.017943848E3
8.641904597E1,1.017935303E3
8.651904584E1,1.017917725E3
8.661904584E1,1.017951660E3
8.671904584E1,1.017951660E3
8.681904584E1,1.017957520E3
8.691904584E1,1.017963379E3
8.701904584E1,1.017963379E3
8.711904584E1,1.017979980E3
8.721904584E1,1.017995117E3
8.731904584E1,1.017995117E3
8.741904584E1,1.018003418E3
8.751904584E1,1.018009766E3
8.761904584E1,1.018009766E3
8.771904584E1,1.017972168E3
8.781904584E1,1.017980957E3
8.791904584E1,1.017980957E3
8.801904584E1,1.017977051E3
8.811904584E1,1.018010498E3
8.821904584E1,1.018010498E3
8.831904584E1,1.017986572E3
8.841904584E1,1.017990967E3
8.851904584E1,1.017980469E3
8.861904584E1,1.017982422E3
8.871904584E1,1.017983154E3
8.881904584E1,1.017982178E3
8.891904584E1,1.017985840E3
8.901904584E1,1.018007568E3
8.911904584E1,1.018013184E3
8.921904584E1,1.018016113E3
8.931904584E1,1.018018799E3
8.941904584E1,1.018003174E3
8.951904597E1,1.018017334E3
8.961904597E1,1.018024170E3
8.971904597E1,1.018013672E3
8.981904597E1,1.018018066E3
8.991904597E1,1.018022705E3
9.001904597E1,1.018031006E3
9.011904597E1,1.018030273E3
9.021904597E1,1.018033936E3
9.031904597E1,1.018040283E3
9.041904597E1,1.018033447E3
9.051904597E1,1.018033691E3
9.061904597E1,1.018027344E3
9.071904597E1,1.018023438E3
9.081904597E1,1.018017578E3
9.091904597E1,1.018009766E3
9.101904597E1,1.017993652E3
9.111904597E1,1.017995361E3
9.121904597E1,1.018026367E3
9.131904597E1,1.018008057E3
9.141904554E1,1.018018066E3
9.151904554E1,1.018006592E3
9.161904554E1,1.018035645E3
9.171904554E1,1.018048584E3
9.181904554E1,1.018048584E3
9.191904554E1,1.018041016E3
9.201904554E1,1.018063232E3
9.211904554E1,1.018063232E3
9.221904554E1,1.018059326E3
9.231904554E1,1.018057129E3
9.241904554E1,1.018057129E3
9.251904567E1,1.018066162E3
9.261904567E1,1.018027588E3
9.271904567E1,1.018027588E3
9.281904567E1,1.018020996E3
9.291904567E1,1.018027344E3
9.301904567E1,1.018027344E3
9.311904567E1,1.018015381E3
9.321904567E1,1.018008789E3
9.331904567E1,1.018008789E3
9.341904567E1,1.018005859E3
9.351904567E1,1.018025879E3
9.361904567E1,1.018025879E3
9.371904567E1,1.018004883E3
9.381904567E1,1.018000244E3
9.391849655E1,1.017976562E3
9.401849655E1,1.017955566E3
9.411849655E1,1.017967529E3
9.421849655E1,1.017952148E3
9.431849655E1,1.017985107E3
9.441849698E1,1.017975342E3
9.451849698E1,1.017965820E3
9.461849698E1,1.017959473E3
9.471849698E1,1.017938232E3
9.481849698E1,1.017943848E3
9.491849698E1,1.017949463E3
9.501849698E1,1.017958496E3
9.511849698E1,1.017956543E3
9.521849698E1,1.017958252E3
9.531849698E1,1.017972412E3
9.541849698E1,1.017967285E3
9.551849685E1,1.017936035E3
9.561849685E1,1.017935303E3
9.571849685E1,1.017926025E3
9.581849685E1,1.017907227E3
9.591849685E1,1.017889893E3
9.601849685E1,1.017885010E3
9.611849685E1,1.017878418E3
9.621849685E1,1.017868164E3
9.631849685E1,1.017890869E3
9.641849685E1,1.017900635E3
9.651849685E1,1.017881836E3
9.661849685E1,1.017888916E3
9.671849685E1,1.017877930E3
