"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.408507611E0,-1.519500017E-1,-9.595050812E0,-4.830000103E-1
2.418592305E0,-7.095000148E-2,-9.612000465E0,-4.360500276E-1
2.428677197E0,-3.000000119E-2,-9.577950478E0,-3.949500322E-1
2.438762134E0,2.895000204E-2,-9.607050896E0,-3.780000210E-1
2.448846983E0,1.695000008E-2,-9.661950111E0,-4.279500246E-1
2.458931996E0,-6.300000101E-2,-9.682950020E0,-5.239500403E-1
2.469016839E0,-1.500000060E-1,-9.657000542E0,-5.670000315E-1
2.479101745E0,-1.780500114E-1,-9.705000877E0,-6.220500469E-1
2.489186449E0,-2.209500074E-1,-9.832050323E0,-6.529500484E-1
2.499271283E0,-2.880000174E-1,-9.937050819E0,-5.910000205E-1
2.509356207E0,-3.409500122E-1,-9.930000305E0,-4.879500270E-1
2.519441149E0,-3.580500185E-1,-9.826950073E0,-4.090500176E-1
2.529526058E0,-3.049500287E-1,-9.697950363E0,-3.970500231E-1
2.539610752E0,-2.239500135E-1,-9.682950020E0,-4.039500058E-1
2.549695673E0,-1.930500120E-1,-9.762000084E0,-5.029500127E-1
2.559780577E0,-1.639500111E-1,-9.750000000E0,-5.269500017E-1
2.569865425E0,-9.495000541E-2,-9.661950111E0,-4.980000257E-1
2.579950356E0,-5.895000324E-2,-9.637950897E0,-5.029500127E-1
2.590035294E0,-4.395000264E-2,-9.492000580E0,-4.950000346E-1
2.600119973E0,4.305000231E-2,-9.661950111E0,-4.690500200E-1
2.610204889E0,2.400000021E-2,-9.895950317E0,-4.999500215E-1
2.620289737E0,-4.695000127E-2,-9.991950035E0,-6.150000095E-1
2.630374673E0,1.005000062E-2,-9.994950294E0,-6.420000196E-1
2.640459586E0,4.095000029E-2,-9.970950127E0,-6.220500469E-1
2.650544481E0,5.100000277E-2,-9.946950912E0,-6.079500318E-1
2.660629195E0,7.200000435E-2,-9.982950211E0,-5.290500522E-1
2.670714120E0,5.295000225E-2,-9.925050735E0,-4.159500301E-1
2.680799013E0,-4.050000105E-3,-9.841050148E0,-3.490500152E-1
2.690883861E0,-6.000000052E-3,-9.778950691E0,-3.109500110E-1
2.700968579E0,7.695000619E-2,-9.693000793E0,-2.230500132E-1
