"Time (s)","Pressure (hPa)"
5.311536308E1,1.017802979E3
5.321536308E1,1.017822510E3
5.331536308E1,1.017788330E3
5.341536308E1,1.017775146E3
5.351536308E1,1.017795654E3
5.361536308E1,1.017817871E3
5.371536308E1,1.017817871E3
5.381536308E1,1.017819092E3
5.391536308E1,1.017856934E3
5.401536308E1,1.017856934E3
5.411536308E1,1.017832520E3
5.421536308E1,1.017788818E3
5.431536308E1,1.017788818E3
5.441536308E1,1.017776855E3
5.451536308E1,1.017801270E3
5.461536308E1,1.017801270E3
5.471536308E1,1.017827393E3
5.481536308E1,1.017829346E3
5.491536308E1,1.017829346E3
5.501536308E1,1.017817139E3
5.511536308E1,1.017815674E3
5.521536308E1,1.017815674E3
5.531536308E1,1.017797363E3
5.541536308E1,1.017785645E3
5.551536308E1,1.017785645E3
5.561536308E1,1.017855957E3
5.571536308E1,1.017886963E3
5.581536308E1,1.017873047E3
5.591536308E1,1.017859619E3
5.601536308E1,1.017850830E3
5.611536308E1,1.017847900E3
5.621536308E1,1.017851318E3
5.631536308E1,1.017851074E3
5.641536308E1,1.017852051E3
5.651536308E1,1.017818359E3
5.661536308E1,1.017842041E3
5.671536308E1,1.017863281E3
5.681536308E1,1.017885986E3
5.691536335E1,1.017875244E3
5.701536335E1,1.017877197E3
5.711536335E1,1.017903320E3
5.721536335E1,1.017928711E3
5.731536335E1,1.017914795E3
5.741536335E1,1.017858154E3
5.751536335E1,1.017887939E3
5.761536335E1,1.017911865E3
5.771536335E1,1.017908203E3
5.781536335E1,1.017897949E3
5.791536335E1,1.017884521E3
5.801536335E1,1.017871826E3
5.811536335E1,1.017867676E3
5.821536335E1,1.017858643E3
5.831536335E1,1.017817139E3
5.841536335E1,1.017812988E3
5.851536335E1,1.017856689E3
5.861536335E1,1.017843506E3
5.871536335E1,1.017853027E3
5.881536335E1,1.017862793E3
5.891536335E1,1.017878174E3
5.901536335E1,1.017862793E3
5.911536335E1,1.017862793E3
5.921536335E1,1.017865234E3
5.931536335E1,1.017866455E3
5.941536335E1,1.017866455E3
5.951536335E1,1.017846680E3
