,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,bar_pressure,labelcycling,labelmetro,labeltram,labelwalking,labelbus,person,session
2026-06-14 13:16:07.804542991,-0.666237763814564,0.31779236765546504,0.06275872393142536,-0.0011106729505919752,0.0031513565327446784,-0.0027224356348608965,1018.750153,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:08.054542991,-0.6217215461293458,0.318071628888125,0.06653338219773931,0.0017591482346139813,0.0016118850828278238,-0.00040876102939393124,1018.755051,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:08.304542991,-0.5807876575370458,0.3296977265739236,0.057688837114407,-0.0002436655693371333,-0.0005213310788070244,-0.0023882726131349663,1018.759949,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:08.554542991,-0.5758292121616183,0.2907275757450877,0.06537608159811746,-0.002914188067162032,0.00026886183882925715,-0.0026846961743306258,1018.7648469999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:08.804542991,-0.5378184576168937,0.25749725186049904,0.06671868723941118,0.0004633022143662967,-0.0006842312815416199,0.0004852049279457818,1018.769745,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:09.054542991,-0.48613047807693305,0.2819174079464693,0.05428192046398514,0.0014950103115563484,0.0010825224671882757,-6.816900016182363e-05,1018.774643,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:09.304542991,-0.4437125157876382,0.2638943499812939,0.05993998840320321,-5.7394076985498874e-05,-0.00021650000898423217,0.0008527705621527175,1018.7764995,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:09.554542991,-0.3120091978140488,0.19613562775199372,0.06655836952973376,0.0011844077449761669,-0.00702605470215975,0.005126043617362367,1018.778356,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:09.804542991,-0.18134998003784764,0.16403413437463032,0.05581828640591988,0.0014473814622008618,-0.0060413437323717945,0.00312158992025493,1018.7802125000001,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:10.054542991,-0.16598956736428616,0.14465170247162584,0.053683267044056,7.578248521856875e-05,-0.0001839647362574804,-0.0015598172210588386,1018.782069,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:10.304542991,-0.16524881437422545,0.13413015366016395,0.066561154009168,1.7228999781874532e-05,-0.000935389089148744,-0.001050466096522441,1018.7839255,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:10.554542991,-0.14786961030539938,0.14756957505780327,0.06228809862153487,0.00037116507336928457,-0.0024856321910005125,0.0005351385425641058,1018.785782,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:10.804542991,-0.14794830165034692,0.12928126182738425,0.04696588960894505,0.0006762087905055602,0.00014354135272717336,0.0007921973527393187,1018.785782,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:11.054542991,-0.13883320199552462,0.10733407574531818,0.05918429460249956,0.0006346048918945274,0.00040884669243612405,0.0002788302556665334,1018.785782,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:11.304542991,-0.121569607349763,0.1298294181505924,0.06592420250320351,-0.0002858658561330191,-0.0008904232184576016,-0.0009097637934150761,1018.785782,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:11.554542991,-0.1088465949836483,0.13924458103355147,0.05305150128335093,-0.0004770626568809816,0.00017319431262534016,0.0002878546785336177,1018.785782,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:11.804542991,-0.11181991980863448,0.11477827764145203,0.06722501380060958,-0.00023081062625067414,-0.0005327195456745958,0.0014442348267412447,1018.785782,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:12.054542991,-0.1217788042646438,0.09497146901836194,0.06997796405804142,-0.00043671379373971266,-0.0013911122689350289,-0.0006978537748163326,1018.7822266000001,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:12.304542991,-0.10524534644347686,0.10620232620325495,0.048390832979535885,0.00029592984280113526,0.0007184703587756453,-0.0009927196076790804,1018.7786712000001,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:12.554542991,-0.08758817490097393,0.12829746464543895,0.059174210281279706,0.0006526748785983511,0.00022845555537650173,0.0011070433009475356,1018.7751158,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:12.804542991,-0.09684404497871173,0.0992741899431003,0.06691722232981027,-0.000638919309261345,-0.0014708804465202413,0.0004601822859403765,1018.7715604,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:13.054542991,-0.10177128214006947,0.06691936640466692,0.0529017683068809,-0.001018091817608919,-0.00040180121801744234,-0.0009487726359009794,1018.768005,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:13.304542991,-0.0903423647368109,0.10086068499198408,0.05971662276128939,0.0002209001598696621,-0.0005351553331713245,-0.00020635749408996868,1018.7662885,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:13.554542991,-0.08370616550670484,0.11235335534676882,0.07371872562468154,0.0011144048212446184,-0.0005880140178399648,0.0004476578389189826,1018.764572,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:13.804542991,-0.08174034339917592,0.07535882328115241,0.07022105787725252,0.0006814398286284133,0.0013499025719381549,0.0014114022814066896,1018.7628555,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:14.054542991,-0.07163404230055784,0.0812625754782056,0.057525449960793576,3.85875555484974e-05,0.0017942123790166658,0.0030773682832220786,1018.761139,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:14.304542991,-0.06879414753734928,0.10620511713714686,0.054816361836463594,-1.9207071575673388e-05,0.0019298320394403913,0.002588886756842279,1018.7594225,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:14.554542991,-0.08160222792859032,0.08130559167795563,0.05408008848239192,-5.5148804024557986e-05,0.0018344416626826978,0.001702579030713233,1018.757706,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:14.804542991,-0.07430937906763378,0.06286745474218884,0.06088414778424506,0.0003330198656493463,0.000431119180668206,0.0015335837138134515,1018.7545016,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:15.054542991,-0.05077691816355512,0.09131505545548521,0.07603397526322354,-0.0003518754585544241,0.0004961638372002817,-0.0004949106145755325,1018.7512972,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:15.304542991,-0.06526376053289981,0.07080087801747914,0.042917917043521846,-0.0007727041256029816,-3.155467795318387e-05,-0.0016034014621673141,1018.7480928,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:15.554542991,-0.07552111431495469,0.04767801855589854,0.03877349132952885,0.002444595658274515,-0.001857940566367026,-0.0013527118108935324,1018.7448883999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:15.804542991,-0.02781403799702083,0.11860877343652532,0.09284231761713556,0.0005245533235936824,-0.0011535716355165803,-0.0021759012252566498,1018.741684,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:16.054542991,-0.02544638375018728,0.09389810738034597,0.07437839255157583,-0.005639928103155698,7.315021970794677e-05,-0.0007990446229183931,1018.7375642,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:16.304542991,-0.06916808400249475,0.017559478881034426,0.07345591609676871,-0.0012921371294059671,0.0003738624988762184,0.00018662396391115228,1018.7334443999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:16.554542991,-0.04123464032951148,0.09485714272490986,0.07048928302825098,0.0024202110485157,0.0013032139607166073,-0.002648752948331235,1018.7293246,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:16.804542991,-0.03451526217251796,0.0741247116782643,-0.0024021356363237317,-0.002520583735658437,0.001449457093610466,-0.0030139058842708873,1018.7252048,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:17.054542991,-0.06403176785732051,-0.0002677715898860619,0.09819077049367911,0.0009972000687508027,0.0004982988038413856,-0.0009010721290984159,1018.721085,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:17.304542991,-0.00557595676919235,0.14530988844123985,0.16657295956513127,0.0037310074114564645,-0.00019232779750832083,-0.0005434900276520248,1018.7140658333334,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:17.554542991,-0.0012455364023740382,0.16993437900410843,0.03376292204749642,-0.005238871678207589,0.0005240905996039942,-0.0006784288113109643,1018.7070466666667,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:17.804542991,-0.085916028294129,0.015390215396748341,0.06416432645070053,-0.004774093929141683,0.0013894846438237743,-0.0021685872409608416,1018.7000275,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:18.054542991,-0.06261790522229191,0.02881485376961331,0.07290198049329702,0.0043830752041033455,-0.0005438772023823743,-0.0036781496619591983,1018.6930083333334,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:18.304542991,0.007330630107874571,0.09599674677536071,-0.013137926583610945,0.0037560267719562493,-0.0022149647273551057,-0.002616306385424547,1018.6859891666667,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:18.554542991,0.020373127023291082,0.1012724592434668,0.11195086184485507,-0.0007021136141588647,-0.0007145897880211963,-0.002553807361397785,1018.67897,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:18.804542991,0.03309368020547017,0.09554444154802882,0.1215563612399754,-0.0004759355365413483,0.00010286779200112671,-0.0023761751286658548,1018.6530454,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:19.054542991,0.04196637550242216,0.05200489397699643,0.014908311076092765,0.00030802702606259067,-0.000995707711126948,0.0006122971638805675,1018.6271208000001,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:19.304542991,0.036679253662759155,0.036518875970012424,0.07729520773436141,0.0002024822323929133,-0.000907820544305625,0.000915017560562705,1018.6011962,0,1,0,0,0,giray,giray_metro_s1
